date,eta_z_H,eta_p_H,eta_x_H,eta_g_H,eta_z_F,eta_p_F,eta_x_F,eta_g_F,eta_r,init_values,steady_state
1999.25,5.25094859822185e-07,2.17675954257382e-07,-1.007112068991e-09,-9.81222149006525e-08,5.56984406295486e-09,8.32041548547637e-12,-4.18836837688018e-09,-5.349335231096e-09,-5.85483904531946e-06,0.00169962834117721,0.00169441318407987
1999.5,2.07801515119078e-07,1.53851720104992e-07,-1.99756123475784e-09,-1.77318877189461e-08,3.84020591617347e-08,-5.73811800598526e-11,3.9102305015372e-10,-1.06101644676599e-08,-4.57157532174948e-06,-0.00590777811585961,-0.00591197964185852
1999.75,-6.5236816613974e-08,1.25562536867144e-08,-7.70279083219661e-08,6.82851630094549e-06,7.03731718973551e-08,-7.1208677425298e-09,3.47638682146765e-07,-4.09138284061255e-07,-2.01315476719091e-06,-5.98323466105937e-06,-1.29582889631368e-06
2000,-0.000608859660056034,-0.000125205797916953,-4.18864699718357e-08,-1.59694232486731e-05,-2.19506966839759e-06,-1.99590056003749e-07,-8.28930824533722e-07,-2.22482458929414e-07,0.00234140795167392,1.15528963705791e-05,0.001599438007345
2000.25,0.00116608326249296,0.000253614107069096,4.67191511725639e-07,5.11921272523803e-05,-9.28735854782471e-06,-4.09680555354103e-06,2.64749052863508e-06,2.48151530528975e-06,-0.00175350091652284,0.000273681917019037,-1.67174694450816e-05
2000.5,0.000777953168944947,0.000260965333864411,1.21121133431556e-06,3.03249014644649e-05,2.39821677326346e-05,3.26300146102484e-06,1.47463798442402e-06,6.43342053228388e-06,-0.00125484448187909,0.000638922514804692,0.000489685876244105
2000.75,0.000619908037623627,0.000172294417370833,1.42907476853081e-06,2.136894091292e-05,0.000119832784464399,1.75831613150876e-05,1.06060232444194e-06,7.59061502939958e-06,-0.00253909037364591,0.0010217810191891,-0.000556241720647575
2001,-0.00105100274293787,-0.000208642656886293,2.03713682005057e-06,-4.28034869520597e-05,0.00021147412897816,3.11070826036104e-05,-2.25780433460862e-06,1.08203725261461e-05,-0.00195916023120247,0.00137412204992114,-0.0016343061514642
2001.25,0.000254695759202502,-6.68569260622428e-05,1.8348813705381e-06,-4.64864098874813e-06,0.000265181431813421,3.27638267599517e-05,-1.48183081481363e-07,9.7460807615342e-06,0.00316865997451015,0.00167200474676279,0.00533323295104841
2001.5,-0.000918336480294105,-0.000312014477734858,1.69010704679211e-06,-4.12256144355688e-05,0.000249961431502908,3.06170178755045e-05,-2.08722250551829e-06,8.97710339107296e-06,-0.00293920816198909,0.00190658561624439,-0.00201504068089847
2001.75,-0.00144792669359454,-0.000478462637914888,8.03727426267103e-07,-6.6618921990612e-05,0.000181954358179862,1.76629951039387e-05,-3.34801476679304e-06,4.26904569005585e-06,-0.00425543330062969,0.00207797686879509,-0.00396912257370131
2002,-0.000625672580777322,-0.000186160391949251,8.20626981420265e-07,-3.73813292290924e-05,5.69787967143363e-05,-7.02313818908467e-06,-1.96285905551886e-06,4.35880867528286e-06,0.00159740195243278,0.002191205921925,0.00299256580752856
